radius, velocity
0.1358719916626714, 201.87944430450872
0.08881992417087403, 178.96136482532793
0.1127600622826157, 173.22421576795645
0.08793688628970298, 169.62323923194668
0.15374485152225104, 218.28219759353624
0.14731396943666564, 193.42630446997734
0.11402209463566138, 186.57020790141635
0.16542490323479608, 212.34668965918115
0.1404378169423719, 207.01236170583792
0.2016583138098964, 233.0492530662068
0.25592618594831995, 244.7402201081165
0.21538868713868897, 222.90548526476914
0.3595548545345246, 253.785150154335
0.3892994112668542, 249.68262579682624
0.4393686485274251, 261.3565906492802
0.5368144758848623, 256.22977659801205
0.5605820464629634, 248.66772587239154
0.5845640690979206, 243.37350564802077
0.6332745328494624, 240.67844064249869
0.7499600324357707, 231.88787274030727
0.928580498054802, 224.32669392183834
1.1209249402685195, 219.49930731820734
1.2453188442465013, 216.90755670478984
1.4771363820813939, 213.83256476332565
1.4741595989969154, 200.84623432989093
1.7073816845814154, 207.5807482900932
1.7309991231458577, 198.4310515200248
1.6465997476210132, 212.07203890643467
1.9231983780465738, 202.8559803142741
1.9306859580074676, 206.52343977059155
2.196453752049644, 201.43566998578527
2.309273015978369, 197.06787918273236
2.5418994383928544, 195.3457208734572
2.5757922296788944, 199.92637228497802
2.8324578970783785, 195.6726543495837
3.084061116774958, 198.29451086008797
3.2870483242686586, 194.7472438046153
3.366647741678027, 200.62067194977814
3.5926016926129467, 208.16589486737323
3.598328078529634, 203.99639853907112
3.891945363275778, 207.12879484546374
4.135559289159545, 210.9013824572281
4.295306501129358, 217.35143670922866
4.399500353915975, 223.17403266745458
4.426596342442255, 224.91959078491018
4.5973421841497135, 218.2280997179953
4.745394042256372, 230.45184166166126
4.788932756789024, 224.8463505841778
4.910189440895207, 218.3686617194009
4.945099334432756, 213.56818313925328
5.160660188931831, 220.52147974092907
5.330349341612766, 224.23084468427274
5.481816830973183, 222.2324213830385
5.677406342124823, 222.23533742806762
5.741918781127395, 218.35848946929917
5.882864478832443, 220.16061256321325
6.005657972009467, 224.18125496502682
6.269728437877485, 224.26067809464757
6.262299353139711, 219.6707097324214
6.490423243931587, 227.97126581542693
6.530377341352406, 235.4173528898878
6.5438311641465186, 219.4723508554378
6.781552835718265, 236.803685260894
6.802944009269562, 241.09753734668965
7.011013627906489, 226.36526128150976
6.969533337978008, 222.81393501385364
7.283596859434518, 225.58203901076544
7.242765747199694, 231.93844335509874
7.376305170801046, 220.14524519966673
7.533982621312471, 226.28291449497198
7.805133799802097, 224.18607907757507
7.780227042148774, 219.70122648272655
8.01081766751851, 224.4984596306989
8.186636443300408, 219.6724244831528
8.448358176159875, 230.05098234872406
8.481460120863233, 221.16880474740233
8.556226159110896, 227.2617513708318
8.653040216791801, 215.45397299025402
8.717748504875054, 252.48384549805274
8.646484317832623, 232.4267113599814
8.663931530347522, 244.32824397899674
8.751300295953733, 218.9378717715216
8.848092370214662, 224.1578926972932
8.89748639268307, 254.581872081533
9.01404248723161, 214.21736645288797
8.903078965930487, 184.27127937842707
8.902663418692288, 179.87686733448297
9.061585291643208, 220.74964639321075
9.10276714060214, 224.74084981883706
9.252108964071244, 207.45529053883863
9.186343666635473, 202.39822905969658
9.075704214465247, 197.45451551025943
9.286994755424008, 212.67390395735129
9.249073985135116, 218.511073220825
9.489972346320695, 209.33316056654587
9.573881866681067, 201.29962604871054
9.456573266103728, 186.24062699812055
9.466846709653268, 191.32064869892076
9.762265705356395, 208.5272131909864
9.826562836394157, 204.22279857284022
9.804262409835935, 199.560171281316
9.748856111409534, 196.1728119974424
9.850176051039753, 232.01473523086162
9.840207245940064, 256.04667609618105
9.839341522527153, 246.89165100463077
9.993798122369594, 240.54416694115596
9.838527742519016, 238.28592741857358
9.98400044193119, 223.23506616806492
9.98016550364284, 215.04360746740036
9.93190390030384, 190.12235763693786
9.931229405573692, 182.98957586561005
10.046958409616622, 209.39228677026216
10.088094640333836, 202.11340605684833
10.108887392882185, 249.39402452965453
10.108425673728632, 244.51134448082774
10.120234141080761, 239.9338319350526
10.10766383712527, 236.4549224002635
10.10728291882359, 232.4267113599814
10.10689161184095, 228.2886400186007
10.106521082220226, 224.3702892794172
10.27247679758191, 218.80403402375464
10.140786414903303, 198.37001801941446
10.389793358005075, 210.21433173160761
10.613090480051877, 273.8074247737885
10.717280292795902, 210.54620139117628
10.767875532608844, 227.7826432349693
10.915808947759913, 238.7538509232528
10.742820864923647, 221.7336420530507
10.742216012832493, 215.3373311890876
10.962246351628544, 212.02117765592607
10.939849125021592, 234.07461587646043
10.99493298957243, 195.21662048788048
10.98597635255885, 204.061827904904
10.984572396532656, 189.21499292786422
10.984191478230972, 185.1867818875821
10.983680701417352, 179.78531708356746
11.196280728543353, 227.345672434171
11.271688844988923, 215.7111613803259
11.207773206849769, 219.42657572998004
11.502984890652947, 234.44081688012244
11.628795626200418, 218.58797543159403
11.75401829644596, 213.77661738776618
11.779720497760731, 209.4130127298444
11.975383223462039, 224.5737342814516
11.958032367337161, 282.7322663773227
11.948780504898139, 288.4554649202689
12.140225531067909, 241.75373995325168
12.044672977103264, 266.9019201333049
12.129866756921768, 261.66175815233186
12.15777767975407, 254.764972583364
12.043173214352706, 251.0419290461336
12.231094833678728, 226.82727891937168
12.305290280037706, 232.51893976090366
12.247489711289486, 211.00395264575383
12.263092520685635, 246.55160721551607
12.260666021634016, 220.89137974462807
12.31149326157998, 240.58122299509793
12.309198476161892, 216.31386719885296
12.5483929081587, 230.72649241440777
12.868402574945424, 232.63693786208364
12.869801382436616, 226.88138187595666
12.86460621746065, 221.25758074829008
