
HII region,l,b,# of refs
[DJW84] W49 I,43.2,0.0,6
[DJW84] W49 F,43.2,0.0,7
[DJW84] W49 J,43.2,0.0,6
[DJW84] W49 H,43.2,0.0,5
[DJW84] W49 C,43.2,0.0,9
[DJW84] W49 G,43.2,0.0,8
[DJW84] W49 G1,43.2,0.0,5
[DJW84] W49 E,43.2,0.0,5
[DJW84] W49 B,43.2,0.0,8
[DJW84] W49 G2,43.2,0.0,6
[WAM82] 043.184-0.520,43.2,-0.5,1
[HC96] G43.18-0.52,43.2,-0.5,2
IRAS 19095+0930,43.8,-0.1,21
GAL 043.79-00.13,43.8,-0.1,0
[WAM82] 043.816+0.394,43.8,0.4,0
[KB94] 48,43.9,-0.8,3
[WAM82] 043.889-0.787,43.9,-0.8,1
GAL 043.89-00.78,43.9,-0.8,26
[WAM82] 044.264+0.100,44.3,0.1,0
[KB94] 49,44.3,0.1,2
GAL 044.26+00.10,44.3,0.1,3
[L89b] 44.786-00.490,44.8,-0.5,2
[LPH96] 044.981-0.646,45.0,-0.6,1
GAL 045.07+00.13,45.1,0.1,26
GAL 045.07+00.14,45.1,0.1,0
[WAM82] 045.07+0.14,45.1,0.1,0
GAL 045.1+00.1,45.1,0.1,6
[KB94] 50,45.1,0.1,2
GAL 045.12+00.13,45.1,0.1,61
[ABG85] 77,45.1,0.1,20
[L89b] 44.125+00.136,45.1,0.1,1
[WAM82] 045.200+0.740,45.2,0.7,0
[WAM82] 045.400-0.720,45.4,-0.7,0
[C72] G045.5+0.1,45.5,0.1,5
GAL 045.45+00.06,45.5,0.1,63
[ABG85] 78,45.5,0.1,16
GAL 045.47+00.05,45.5,0.1,20
[C72] G045.5+0.0,45.5,0.1,0
[KB94] 53,45.8,-0.3,4
[KB94] 54,46.5,-0.2,3
[LPH96] 046.520-0.066,46.5,-0.1,1
IRAS 19181+1349,48.6,0.0,16
GRS 048.60 +00.00,48.6,0.1,2
[KB94] 55,48.6,0.0,2
[WMG70] 048.6+00.0,48.6,0.1,0
GRS 048.60 +00.20,48.6,0.2,3
GAL 048.9-00.3,48.8,-0.3,6
SH 2-79,48.9,-0.5,6
[KB94] 57,48.9,-0.3,3
[WMG70] 048.9-00.3,48.9,-0.3,0
GAL 049.0-00.3,49.0,-0.3,6
[KB94] 58,49.0,-0.3,3
[WMG70] 049.0-00.6,49.0,-0.5,1
[WMG70] 049.0-00.3,49.0,-0.3,0
[KB94] 59,49.1,-0.3,2
[WMG70] 049.1-00.4,49.1,-0.4,0
GAL 049.10-00.40,49.1,-0.4,15
[KB94] 60,49.1,-0.4,2
[WMG70] 049.2-00.7,49.2,-0.7,0
GAL 049.204-00.35,49.2,-0.3,7
GAL 049.2-00.3,49.2,-0.4,5
[WMG70] 049.2-00.3,49.2,-0.3,1
GAL 049.20-00.35,49.2,-0.3,22
[WMG70] 049.4-00.3,49.3,-0.3,0
[KB94] 62,49.4,-0.3,2
[KB94] 63,49.4,-0.2,2
GRS 049.40 -00.50,49.4,-0.5,2
[WC89] 049.49-0.37,49.5,-0.4,2
[M94] 49.5-0.4 e2,49.5,-0.4,31
BBRW W51 (b),49.5,-0.4,80
W 51E8,49.5,-0.4,6
OKYM 6,49.5,-0.4,7
EQ 1921+1424,49.5,-0.4,4
[WBN74] W 51 IRS 2W,49.5,-0.4,5
[WMG70] 049.5-00.4,49.5,-0.4,1
[LPH96] 049.546+0.230,49.5,0.2,1
[KB94] 64,49.6,-0.4,2
[L89b] 49.588-00.456,49.6,-0.5,1
[WAM82] 049.704-0.172,49.7,-0.2,0
[LPH96] 049.704-0.172,49.7,-0.2,1
IRAS 19214+1458,50.0,-0.1,8
[KB94] 65,50.0,-0.1,2
[L89b] 50.125-00.670,50.1,-0.7,1
GAL 050.23+00.33,50.2,0.3,1
[WAM82] 050.232+0.317,50.2,0.3,0
[KB94] 66,50.2,0.3,3
[WAM82] 050.309+0.674,50.3,0.7,0
GAL 050.32+00.68,50.3,0.7,3
[WAM82] 050.625-0.031,50.6,0.0,0
EQ 1922+155,50.6,0.0,4
[MVN98] 19220+1548,50.8,0.2,1
[LPH96] 050.857+0.081,50.9,0.1,1
[KB94] 67,51.1,0.2,3
[LPH96] 051.167-0.743,51.2,-0.7,1
[C72] G051.4+0.0,51.3,-0.0,0
[KB94] 68,51.4,-0.0,2
[KB94] 69,52.2,0.7,3
[L89b] 52.240-00.538,52.2,-0.5,1
[WAM82] 052.753+0.335,52.8,0.3,0
[KB94] 70,52.8,0.3,3
[L89b] 52.940-00.588,52.9,-0.6,1
[SHK91] SagDIG 3,53.1,0.0,2
[ABG85] 89,53.2,0.2,3
[WAM82] 053.185+0.151,53.2,0.2,1
LBN 053.52+00.03,53.5,0.1,0
SH 2-82,53.6,0.0,16
[KB94] 72,53.6,0.2,2
[C72] G054.1-0.1,54.1,-0.1,3
[ABG85] 90,54.1,-0.1,3
[WAM82] 054.092-0.066,54.1,-0.1,0
[KB94] 73,54.1,-0.1,2
[WC89] 054.10-0.06,54.1,-0.1,2
[KB94] 74,57.5,-0.3,2
LBN 059.38-00.15,59.4,-0.2,1
[KB94] 75,59.5,-0.2,2
IRAS 19410+2336,59.8,0.1,16
[KB94] 76,59.8,0.2,2
IRAS 19388+2357,59.8,0.7,9
[KCW94] 060.884-00.128,60.9,-0.1,6
BWE 1944+2427,60.9,-0.1,82
[L89b] 60.888-00.127,60.9,-0.1,1
LBN 061.37+00.22,61.4,0.2,0
LBN 061.35+00.21,61.4,0.2,0
LBN 061.50+00.29,61.5,0.1,28
[L89b] 61.470+00.090,61.5,0.1,1
SH 2-88 B,61.5,0.1,76
[WC89] 061.48+0.09A,61.5,0.1,1
[GGL95] G61.48 E,61.5,0.1,6
SH 2-88 A,61.7,0.8,1
SH 2-89,62.9,0.1,6
[L89b] 62.941+00.084,62.9,0.1,1
BWE 1947+2643,63.2,0.4,4
[L89b] 63.176+00.460,63.2,0.5,1
LBN 063.10+00.46,63.2,0.4,21
[L89b] 64.140-00.470,64.1,-0.5,1
LBN 064.20-00.44,64.1,-0.5,16
LBN 066.74+00.86,66.8,0.9,6
LBN 069.40+00.50,69.4,0.5,0
[CH87] 290.487-0.814,290.5,-0.8,3
[CH87] 290.646+0.256,290.6,0.3,3
NAME NGC 3572 RING,290.7,0.2,2
[H53] 58,291.0,-0.7,1
[WMG70] 291.0-00.1,291.0,-0.1,0
[CH87] 291.059-0.770,291.1,-0.8,2
[CH87] 291.205-0.267,291.2,-0.3,3
GAL 291.3-00.7,291.3,-0.7,4
[WBH98] 11097-6102,291.3,-0.7,2
NGC 3576,291.3,-0.7,50
[CH87] 291.466-0.128,291.5,-0.1,2
GAL 291.6-00.5,291.6,-0.5,3
[CH87] 291.614-0.525,291.6,-0.5,5
BRAN 348B,291.6,-0.5,18
[CH87] 291.858-0.675,291.9,-0.7,2
[WMG70] 291.9-00.7,291.9,-0.7,0
[WBH98] 11298-6155,293.8,-0.7,2
[WBH98] 11304-6206,294.0,-0.9,2
[CH87] 295.144-0.628,295.1,-0.6,2
[WMG70] 295.2-00.6,295.2,-0.6,1
[CH87] 295.760-0.200,295.8,-0.2,3
[CH87] 297.506-0.765,297.5,-0.8,3
[CH87] 298.187-0.782,298.2,-0.8,3
GAL 298.2-00.3,298.2,-0.3,8
[CH87] 298.228-0.331,298.2,-0.3,17
[WBH98] 12091-6129,298.3,0.7,2
[CH87] 298.559-0.114,298.6,-0.1,2
[HBB99] 298.837-0.347,298.8,-0.3,2
GAL 298.9-00.4,298.9,-0.4,5
[CH87] 298.868-0.432,298.9,-0.4,3
[WBH98] 12146-6212,299.0,0.1,2
[CH87] 299.016+0.148,299.0,0.2,3
[CH87] 299.363-0.257,299.4,-0.3,2
[CH87] 300.479-0.192,300.5,-0.2,1
[WBH98] 12272-6240,300.5,-0.2,2
[WBH98] 13291-6249,300.7,-0.3,1
RCW 67,301.1,0.8,0
[WBH98] 12326-6245,301.1,-0.2,3
[CH87] 302.025-0.044,302.0,0.0,1
[WBH98] 12405-6238,302.0,-0.1,2
GUM 45,302.1,0.3,5
[CH87] 302.69+0.19,302.7,0.2,1
[CH87] 303.115-0.947,303.1,-0.9,2
[CH87] 303.500-0.700,303.5,-0.7,1
[CH87] 305.097+0.138,305.1,0.2,5
com : 87..2703,305.1,0.2,19
[CH87] 305.173-0.368,305.2,-0.4,2
[CH87] 305.202+0.022,305.2,0.0,2
[WBH98] 13080-6229,305.2,0.0,2
[HBB99] 305.198+0.032,305.2,0.0,2
[WHR97] 13079-6218,305.2,0.2,3
GAL 305.2+00.2,305.2,0.2,2
[CH87] 305.254+0.204,305.2,0.2,2
[WBH98] 13092-6218,305.4,0.2,2
[HBB99] 305.359+0.194,305.4,0.2,2
[CH87] 305.363+0.179,305.4,0.2,2
[CH87] 305.537+0.338,305.5,0.3,2
GAL 305.6+00.0,305.5,0.0,3
[CH87] 305.551-0.005,305.5,0.0,2
[WBH98] 13111-6228,305.5,0.0,2
[CH87] 305.787+0.140,305.8,0.1,2
[WBH98] 13134-6242,305.8,-0.2,2
[CH87] 305.807-0.063,305.8,-0.1,2
BBW 27300,306.2,0.2,0
GRS 306.30 +00.20,306.2,0.2,12
GUM 48a,306.2,0.2,0
[CH87] 306.256+0.066,306.3,0.1,2
[CH87] 306.315-0.361,306.3,-0.4,3
[WHR97] 13180-6245,306.3,-0.3,1
[CH87] 307.569-0.616,307.6,-0.6,1
[C72] G307.6-0.6,307.6,-0.6,0
[CH87] 307.620-0.320,307.6,-0.3,1
[C72] G307.6-0.3,307.6,-0.3,0
BBW 27500,307.7,0.2,0
GUM 48b,307.8,0.2,0
RCW 78,307.9,0.2,13
[CH87] 308.092-0.432,308.1,-0.4,1
BBW 27600,308.6,0.6,0
GRS 308.60 +00.60,308.6,0.6,6
ESO 132- 16,308.6,0.6,3
[CH87] 308.647+0.579,308.6,0.6,1
[WMG70] 308.6+00.6,308.6,0.6,1
GUM 48c,308.7,0.6,0
[WMG70] 308.7+00.6,308.7,0.6,1
[CH87] 309.057+0.186,309.1,0.2,1
GUM 48d,309.3,-0.4,0
BBW 27700,309.5,0.5,0
[CH87] 309.548-0.737,309.5,-0.7,1
[CH87] 309.905+0.373,309.9,0.4,1
[WBH98] 13471-6120,309.9,0.5,3
GAL 309.9+00.5,309.9,0.5,0
[CH87] 310.176-0.131,310.2,-0.1,1
[WHR97] 13504-6151,310.2,-0.1,1
RCW 81,310.5,0.6,0
[CH87] 310.796-0.408,310.8,-0.4,5
GRS 310.89 +00.50,310.9,0.5,1
RCW 82,311.0,0.4,0
[CH87] 310.994+0.389,311.0,0.4,1
GRS 310.99 +00.39,311.0,0.4,1
[CH87] 311.114-0.270,311.1,-0.3,1
GRS 311.11 -00.27,311.1,-0.3,2
[CH87] 311.197+0.752,311.2,0.8,3
[CH87] 311.288-0.021,311.3,0.0,3
GRS 311.31 +00.60,311.3,0.6,1
[WMG70] 311.5+00.4,311.5,0.4,1
[CH87] 311.497-0.483,311.5,-0.5,3
[CH87] 311.619-0.599,311.6,-0.6,4
[WMG70] 311.6+00.3,311.6,0.3,1
[WHR97] 14013-6105,311.6,0.3,1
[CH87] 311.627+0.270,311.6,0.3,13
[WBH98] 14030-6144,311.6,-0.4,2
RCW 83,311.9,-0.5,2
GRS 311.85 -00.22,311.9,-0.2,1
[CH87] 311.852-0.222,311.9,-0.2,1
[WMG70] 311.9+00.1,311.9,0.1,1
GRS 311.90 +00.10,311.9,0.1,0
[CH87] 311.894+0.100,311.9,0.1,1
GAL 311.89+00.10,311.9,0.1,15
[WMG70] 311.9+00.2,311.9,0.2,1
[CH87] 311.922+0.229,311.9,0.2,4
GRS 311.90 +00.20,311.9,0.2,0
BBW 27901,312.0,-0.4,0
[WBH98] 14050-6056,312.1,0.3,2
IRAS 14050-6056,312.1,0.3,16
GRS 312.36 -00.04,312.4,0.0,2
GAL 312.50+00.32,312.5,0.3,3
GAL 312.58+00.40,312.6,0.4,2
[WBH98] 14095-6102,312.6,0.0,2
GRS 312.93 -00.09,312.9,-0.1,1
[CH87] 312.953-0.449,313.0,-0.4,3
GAL 313.07+00.32,313.1,0.3,2
GRS 313.32 +00.05,313.3,0.1,2
BBW 28100,313.4,-0.2,0
RCW 85,313.4,-0.4,5
[CH87] 313.446+0.176,313.5,0.2,2
GRS 313.45 +00.18,313.5,0.2,11
GAL 313.5+00.2,313.5,0.2,3
[WBH98] 14212-6131,313.8,-0.9,2
[CH87] 314.098+0.480,314.1,0.5,1
[CH87] 314.183+0.314,314.2,0.3,1
[CH87] 314.228+0.437,314.2,0.4,1
[WMG70] 314.2+00.4,314.2,0.4,1
[WHR97] 14222-6026,314.3,0.1,1
[CH87] 315.312-0.273,315.3,-0.3,1
[CH87] 316.156-0.492,316.2,-0.5,1
[WBH98] 14394-6004,316.4,-0.4,2
[CH87] 316.393-0.356,316.4,-0.4,1
GAL 316.6-00.1,316.6,-0.1,0
[WBH98] 14404-5942,316.6,-0.1,2
GAL 316.8-00.1,316.8,-0.1,6
[CH87] 316.808-0.037,316.8,0.0,1
[WBH98] 14416-5937,316.8,-0.1,2
[WMG70] 317.0+00.3,317.0,0.3,1
[CH87] 317.037+0.300,317.0,0.3,1
[CH87] 317.291+0.268,317.3,0.3,1
[WMG70] 317.3+00.2,317.3,0.2,1
[CH87] 317.598-0.363,317.6,-0.4,1
[CH87] 317.988-0.759,318.0,-0.8,1
[WHR97] 14498-5856,318.0,0.1,1
[WHR97] 14557-5849,318.8,-0.2,1
[CH87] 318.911-0.181,318.9,-0.2,2
GAL 318.95-00.20,319.0,-0.2,4
[CH87] 319.157-0.423,319.2,-0.4,2
[WMG70] 319.2-00.4,319.2,-0.4,1
[CH87] 319.380-0.025,319.4,0.0,2
[WMG70] 319.4+00.0,319.4,0.0,1
[WBH98] 14594-5824,319.4,-0.0,1
[WHR97] 15030-5821,319.8,-0.2,1
[CH87] 319.874+0.770,319.9,0.8,1
[CH87] 320.109-0.510,320.1,-0.5,1
[WBH98] 15061-5828,320.1,-0.5,2
[CH87] 320.153+0.780,320.1,0.8,2
[WMG70] 320.2+00.8,320.2,0.8,1
[WBH98] 15061-5814,320.2,-0.3,2
[CH87] 320.236+0.417,320.2,0.4,1
[CH87] 320.252-0.332,320.2,-0.3,1
[WMG70] 320.3-00.3,320.3,-0.3,0
[CH87] 320.317-0.208,320.3,-0.2,2
[WMG70] 320.3-00.2,320.3,-0.2,1
[CH87] 320.379+0.139,320.4,0.1,1
[CH87] 320.706+0.197,320.7,0.2,1
[CH87] 321.038-0.519,321.0,-0.5,2
[WMG70] 321.0-00.5,321.0,-0.5,1
GRS 321.10 -00.50,321.1,-0.5,3
[WBH98] 15122-5801,321.1,-0.5,2
BBW 28801,321.1,-0.5,0
[CH87] 321.105-0.549,321.1,-0.6,1
[WMG70] 321.1-00.5,321.1,-0.5,1
[CH87] 322.153+0.613,322.1,0.6,2
GRS 322.15 +00.61,322.2,0.6,9
BBW 28900,322.2,0.5,0
[CH87] 322.407+0.221,322.4,0.2,1
[WBH98] 15254-5621,323.5,-0.1,2
[WBH98] 15278-5620,323.7,-0.3,3
[CH87] 324.120-0.954,324.1,-0.9,1
[CH87] 324.147+0.231,324.1,0.2,3
[CH87] 324.192+0.109,324.2,0.1,3
[WMG70] 324.2+00.1,324.2,0.1,0
GAL 324.2+00.1,324.2,0.1,0
[WBH98] 15360-5554,324.9,-0.6,2
[CH87] 324.954-0.584,325.0,-0.6,2
[CH87] 326.141-0.328,326.1,-0.3,2
[CH87] 326.230+0.976,326.2,1.0,2
BBW 29400a,326.3,0.8,0
[CH87] 326.441+0.914,326.4,0.9,3
[CH87] 326.441-0.396,326.4,-0.4,2
[CH87] 326.315+0.689,326.5,0.9,9
[WMG70] 326.5+00.9,326.5,0.9,2
[CH87] 326.645+0.589,326.6,0.6,3
[WBH98] 15408-5356,326.6,0.6,2
GRS 326.60 +00.60,326.6,0.6,8
[HBB99] 326.654+0.578,326.6,0.6,3
BBW 29400b,326.6,0.4,0
[CH87] 326.660-0.471,326.7,-0.5,2
GAL 326.7+00.5,326.7,0.6,1
BBW 29400c,326.7,0.8,0
[CH87] 326.718-0.564,326.7,-0.6,2
[CH87] 326.959+0.031,327.0,0.0,3
[CH87] 326.985-0.158,327.0,-0.2,2
[CH87] 327.023-0.315,327.0,-0.3,2
BBW 29400d,327.0,0.4,0
[WBH98] 15437-5343,327.1,0.5,2
BBW 29401,327.2,-0.5,0
GRS 327.30 -00.50,327.3,-0.6,4
[CH87] 327.313-0.536,327.3,-0.5,1
GAL 327.30-00.60,327.3,-0.6,19
[WHR97] 15454-5335,327.4,0.4,1
RCW 98,327.5,-0.8,6
BBW 29501,327.5,-0.8,0
GUM 49,327.6,-0.8,9
[WMG70] 327.6-00.4,327.6,-0.4,0
[CH87] 327.612-0.354,327.6,-0.3,1
[CH87] 327.759-0.351,327.8,-0.3,1
[CH87] 327.834+0.113,327.8,0.1,1
[WMG70] 328.0-00.1,328.0,-0.1,1
[CH87] 327.985-0.086,328.0,-0.1,2
[WBH98] 15539-5353,328.2,-0.6,1
[WBH98] 15541-5349,328.2,-0.5,2
[C72] G328.2-0.6,328.3,-0.6,1
GRS 328.30 +00.43,328.3,0.4,13
[CH87] 328.310+0.448,328.3,0.4,2
[WMG70] 328.4+00.2,328.4,0.2,0
GRS 328.59 -00.52,328.6,-0.5,12
[CH87] 328.593-0.518,328.6,-0.5,2
[CH87] 328.812+0.637,328.8,0.6,4
[WBH98] 15520-5234,328.8,0.6,2
[CH87] 328.806-0.083,328.8,-0.1,2
[WHR97] 15530-5231,329.0,0.6,1
[WBH98] 15567-5236,329.3,0.2,2
[CH87] 329.353+0.144,329.4,0.1,2
[WBH98] 15596-5301,329.4,-0.5,2
[WBH98] 15557-5215,329.5,0.5,2
[CH87] 329.489+0.207,329.5,0.2,2
[CH87] 330.041-0.045,330.0,-0.1,1
[CH87] 330.305-0.385,330.3,-0.4,2
[CH87] 330.677-0.396,330.7,-0.4,1
[CH87] 330.856-0.371,330.9,-0.4,1
[WMG70] 330.9-00.4,330.9,-0.4,1
GRS 330.90 -00.40,330.9,-0.4,5
[WBH98] 16065-5158,330.9,-0.4,2
[WBH98] 16060-5146,331.0,-0.2,2
[CH87] 331.026-0.152,331.0,-0.2,2
[WMG70] 331.0-00.2,331.0,-0.2,1
[CH87] 331.110-0.506,331.1,-0.5,1
[WMG70] 331.1-00.5,331.1,-0.5,1
[WBH98] 16071-5142,331.1,-0.2,2
GAL 331.1-00.2,331.1,-0.3,1
[CH87] 331.259-0.186,331.3,-0.2,2
[WMG70] 331.3-00.2,331.3,-0.2,1
[WBH98] 16076-5134,331.3,-0.2,3
[CH87] 331.314-0.336,331.3,-0.3,1
[WMG70] 331.3-00.3,331.3,-0.3,1
GRS 331.30 -00.30,331.3,-0.3,2
[WBH98] 16085-5138,331.3,-0.3,2
[CH87] 331.353-0.013,331.4,0.0,1
[CH87] 331.360+0.507,331.4,0.5,2
[WMG70] 331.4+00.0,331.4,0.0,1
[CH87] 331.517-0.069,331.5,-0.1,3
GAL 331.5-00.1,331.5,-0.1,5
GRS 331.50 -00.10,331.5,-0.1,9
[WHR97] 16086-5119,331.6,-0.1,1
[WBH98] 16128-5109,332.1,-0.4,1
[WMG70] 332.2-00.5,332.1,-0.4,1
GRS 332.20 -00.40,332.1,-0.4,2
[CH87] 332.148-0.446,332.1,-0.4,2
[WMG70] 332.4-00.4,332.4,-0.4,0
BBW 30000b,332.5,0.8,0
[WBH98] 16132-5039,332.5,-0.1,2
[CH87] 332.541-0.111,332.5,-0.1,1
[WMG70] 332.5-00.1,332.5,-0.1,1
GRS 332.66 -00.61,332.6,-0.6,14
[WBH98] 16158-5055,332.6,-0.6,2
[HBB99] 332.663-0.621,332.7,-0.6,2
[CH87] 332.662-0.607,332.7,-0.6,1
[CH87] 332.789-0.564,332.8,-0.6,1
[HBB99] 332.815-0.567,332.8,-0.6,2
[WHR97] 16112-4943,333.0,0.8,1
[C72] G333.0+0.8,333.0,0.8,1
GAL 333.0-00.4,333.0,-0.4,5
[CH87] 333.114-0.441,333.1,-0.4,1
GAL 333.1-00.4,333.1,-0.4,5
[WBH98] 16172-5028,333.1,-0.4,2
[WHR97] 16159-5012,333.2,-0.1,1
[CH87] 333.168-0.081,333.2,-0.1,1
GAL 333.2-00.1,333.2,-0.1,3
GAL 333.3-00.4,333.3,-0.4,5
[CH87] 333.292-0.371,333.3,-0.4,1
[WBH98] 16177-5018,333.3,-0.4,1
EQ 1617-5019,333.3,-0.4,1
[WBH98] 16175-5002,333.5,-0.2,2
SNR 333.6-00.2,333.6,-0.2,42
[CH87] 333.610-0.208,333.6,-0.2,13
[HBB99] 333.605-0.095,333.6,-0.1,2
[CH87] 333.684-0.457,333.7,-0.5,1
[WMG70] 333.7-00.5,333.7,-0.5,1
[CH87] 334.173+0.068,334.2,0.1,1
[CH87] 334.529+0.825,334.5,0.8,1
[CH87] 334.684-0.107,334.7,-0.1,1
[CH87] 334.714-0.665,334.7,-0.7,2
[WBH98] 16272-4837,335.6,-0.3,2
[CH87] 335.751+0.110,335.8,0.1,1
[CH87] 335.748-0.134,335.8,-0.1,1
[WMG70] 335.8-00.2,335.8,-0.2,1
[CH87] 335.978+0.185,336.0,0.2,1
[WBH98] 16313-4840,336.0,-0.8,4
[WBH98] 16297-4757,336.4,-0.1,2
[CH87] 336.375-0.131,336.4,-0.1,2
[WMG70] 336.4-00.2,336.4,-0.1,1
[CH87] 336.404-0.234,336.4,-0.2,2
[WHR97] 16306-4758,336.4,-0.3,2
[HBB99] 336.427-0.251,336.4,-0.2,2
[CH87] 336.456+0.038,336.5,0.0,2
[WMG70] 336.5+00.0,336.5,0.0,0
[CH87] 336.489-0.154,336.5,-0.2,2
[HBB99] 336.532-0.168,336.5,-0.2,1
[CH87] 336.732+0.072,336.7,0.1,2
[HBB99] 336.807+0.043,336.8,0.0,2
[CH87] 336.840+0.047,336.8,0.1,2
[WBH98] 16313-4729,336.9,0.0,2
GAL 336.9-00.2,336.9,-0.2,1
[HBB99] 336.934-0.146,336.9,-0.2,2
[WBH98] 16318-4724,337.0,0.0,2
[WBH98] 16330-4725,337.1,-0.2,1
GRS 337.10 -00.20,337.1,-0.2,3
GAL 337.1-00.2,337.1,-0.2,4
[CH87] 337.147-0.181,337.1,-0.2,2
[WMG70] 337.3-00.1,337.3,-0.1,1
[WBH98] 16351-4722,337.4,-0.4,2
[CH87] 337.548-0.304,337.5,-0.3,2
[WBH98] 16344-4658,337.6,-0.1,2
[WMG70] 337.6+00.0,337.6,-0.1,1
[CH87] 337.665-0.048,337.7,-0.1,2
[WBH98] 16348-4654,337.7,-0.1,2
[HBB99] 337.753+0.126,337.8,0.1,2
[WMG70] 337.8-00.1,337.8,-0.1,0
GAL 337.9-00.5,337.9,-0.5,8
[WBH98] 16374-4701,337.9,-0.5,2
[CH87] 337.949-0.476,338.0,-0.5,2
[WMG70] 338.1-00.1,338.0,-0.1,1
[MVN98] 16363-4645,338.0,-0.1,1
[WMG70] 338.1-00.2,338.0,-0.3,1
[CH87] 338.014-0.121,338.0,-0.1,1
[WBH98] 16359-4635,338.1,0.0,2
[CH87] 338.087+0.007,338.1,0.0,3
[CH87] 338.131-0.173,338.1,-0.2,2
[WMG70] 338.4-00.2,338.4,-0.2,1
[CH87] 338.398+0.164,338.4,0.2,2
[CH87] 338.407-0.238,338.4,-0.2,2
[HBB99] 338.425+0.053,338.4,0.1,2
[WBH98] 16371-4617,338.4,0.1,2
[CH87] 338.450+0.061,338.5,0.1,3
[WBH98] 16381-4629,338.5,-0.2,2
[WBH98] 16387-4612,338.7,-0.1,1
[CH87] 338.742+0.641,338.7,0.6,2
GRS 338.90 +00.60,338.9,0.6,1
[WMG70] 338.9+00.6,338.9,0.6,1
[WMG70] 338.9-00.1,338.9,-0.1,1
[CH87] 338.921-0.089,338.9,-0.1,2
[WBH98] 16376-4542,338.9,0.4,2
[CH87] 338.943+0.604,338.9,0.6,2
[CH87] 339.089-0.216,339.1,-0.2,2
[CH87] 339.128-0.408,339.1,-0.4,2
[CH87] 339.286+0.163,339.3,0.2,2
[WBH98] 16421-4532,339.6,-0.1,1
[CH87] 339.578-0.124,339.6,-0.1,2
GRS 339.60 -00.10,339.6,-0.3,0
[WBH98] 16424-4531,339.6,-0.1,2
[CH87] 339.838+0.274,339.8,0.3,2
[CH87] 339.955-0.566,340.0,-0.6,2
[WBH98] 16455-4531,340.0,-0.5,2
[WBH98] 16445-4516,340.0,-0.2,2
[CH87] 340.047-0.253,340.0,-0.2,2
[C72] G340.1-0.2,340.1,-0.2,0
[WBH98] 16450-4517,340.1,-0.3,1
[CH87] 340.240+0.482,340.2,0.5,2
[WBH98] 16445-4459,340.2,-0.1,2
[CH87] 340.279-0.222,340.3,-0.2,3
[WMG70] 340.3-00.2,340.3,-0.2,1
[MVN98] 16459-4450,340.5,-0.1,1
[CH87] 341.050-0.100,341.0,-0.1,2
[CH87] 341.264-0.317,341.3,-0.3,2
[CH87] 341.963+0.205,342.0,0.2,2
[CH87] 342.085+0.423,342.1,0.4,3
[CH87] 342.300+0.314,342.3,0.3,2
[WBH98] 16513-4316A,342.4,0.1,1
[WHR97] 16513-4316A,342.4,0.1,1
[CH87] 342.382-0.044,342.4,0.0,2
[MVN98] 16515-4308,342.5,0.2,1
[WBH98] 16547-4247,343.1,-0.1,1
[CH87] 343.150-0.402,343.1,-0.4,1
GAL 343.4-00.0,343.4,0.0,1
[HBB99] 343.475-0.036,343.5,0.0,2
[CH87] 343.490-0.033,343.5,0.0,1
[WBH98] 16566-4204,343.9,0.1,2
[CH87] 343.926-0.642,343.9,-0.6,1
[WBH98] 17006-4215,344.2,-0.6,3
[CH87] 344.226-0.588,344.2,-0.6,1
[WBH98] 16586-4142,344.4,0.1,2
[CH87] 344.439+0.048,344.4,0.1,2
[WBH98] 16594-4137,344.6,0.0,2
[WBH98] 17016-4124,345.0,-0.2,2
[CH87] 345.215-0.749,345.2,-0.8,1
[CH87] 345.450+0.209,345.5,0.2,1
[CH87] 345.495+0.326,345.5,0.3,1
[WBH98] 17008-4040,345.5,0.3,2
[CH87] 345.555-0.042,345.6,0.0,1
[WBH98] 17028-4050,345.6,0.0,1
[CH87] 345.645+0.010,345.6,0.0,2
GAL 345.7-00.1,345.7,-0.1,0
[WBH98] 17031-4037,345.8,0.1,3
[CH87] 345.827+0.041,345.8,0.0,1
[CH87] 346.109-0.028,346.1,0.0,1
[CH87] 346.206-0.071,346.2,-0.1,1
[MVN98] 17040-3959,346.4,0.3,1
[WBH98] 17052-4001,346.5,0.1,3
[CH87] 346.539+0.097,346.5,0.1,1
RCW 118,347.3,-0.5,2
[CH87] 347.386+0.266,347.4,0.3,1
[WBH98] 17079-3905,347.6,0.2,2
[CH87] 347.600+0.211,347.6,0.2,1
GAL 347.6+00.2,347.6,0.2,2
[CH87] 347.893+0.044,347.9,0.0,1
[WBH98] 17096-3856,347.9,0.1,3
[CH87] 347.964-0.439,348.0,-0.4,4
[CH87] 348.225+0.459,348.2,0.5,1
SH 2-3,348.2,0.5,4
[WMG70] 348.5+00.1,348.5,0.1,0
[CH87] 348.607-0.551,348.6,-0.6,1
[WMG70] 348.7+00.3,348.7,0.3,0
[WBH98] 17136-3816,348.9,-0.2,2
[WBH98] 17130-3756,349.1,0.1,2
[C72] G349.1+0.1,349.1,0.1,1
SH 2-5,349.1,-0.8,1
[CH87] 349.140+0.020,349.1,0.0,1
GUM 59,349.2,-0.6,0
GRS 349.80 -00.50,349.5,-0.8,2
IRAS 17147-3725,349.7,0.1,3
[CH87] 349.840-0.537,349.8,-0.5,1
GRS 350.10 +00.10,350.0,0.2,0
