
HII region,l,b,# of refs
RCW 157,14.2,0.1,0
[L89b] 14.196-00.125,14.2,-0.1,1
SH 2-44,14.2,-0.1,8
[L89b] 14.221-00.287,14.2,-0.3,1
[L89b] 14.317+00.134,14.3,0.1,1
[L89b] 14.330-00.183,14.3,-0.2,1
[WHR97] 18159-1648,14.3,-0.6,1
[LPH96] 014.380-0.549,14.4,-0.6,1
[L89b] 14.427-00.075,14.4,-0.1,1
[L89b] 14.445-00.651,14.4,-0.6,1
[L89b] 14.496+00.010,14.5,0.0,1
[L89b] 14.600+00.014,14.6,0.0,1
[WBH98] 18141-1615,14.6,0.0,2
[L89b] 14.626+00.087,14.6,0.1,1
[L89b] 14.677-00.491,14.7,-0.5,1
LBN 014.94-00.04,14.9,-0.1,0
[L89b] 14.931-00.638,14.9,-0.6,1
[LPH96] 014.996+0.051,15.0,0.1,1
SH 2-45,15.0,-0.7,19
Cl* NGC 6618 GBL 6,15.0,-0.7,14
GAL 015.04-00.68,15.0,-0.7,12
[WBH98] 18174-1612,15.0,-0.7,2
NAME M 17S,15.0,-0.7,5
[L89b] 15.032-00.687,15.0,-0.7,2
EQ 181731-161304,15.0,-0.7,1
[WMG70] 015.0-00.7,15.0,-0.7,1
RCW 160,15.1,-0.7,2
BBW 34202,15.1,-0.7,0
EQ 181734.0-160859,15.1,-0.6,1
GUM 81a,15.1,-0.9,0
IRAS 18159-1550,15.2,-0.2,11
[L89b] 15.181-00.625,15.2,-0.6,2
GUM 81b,15.2,-0.4,0
[L89b] 15.198-00.768,15.2,-0.8,2
LBN 015.26+00.41,15.3,0.1,7
[LPH96] 015.520-0.143,15.5,-0.1,1
[LPH96] 015.642-0.239,15.6,-0.2,1
RCW 161,16.0,-0.3,1
[L89b] 16.313-00.162,16.3,-0.2,2
[L89b] 16.368-00.515,16.4,-0.5,2
[L89b] 16.431-00.199,16.4,-0.2,2
[WBH98] 18182-1433,16.6,-0.1,2
[FC2000] G016.59-0.05 A,16.6,-0.1,1
[L89b] 16.614-00.324,16.6,-0.3,2
RCW 162,16.7,-0.5,0
GUM 82,16.7,-0.3,0
LBN 016.68-00.47,16.7,-0.3,9
BBW 34401,16.7,-0.3,0
[LPH96] 016.893+0.126,16.9,0.1,1
GUM 83,16.9,0.7,0
[ABG85] 33,16.9,-0.1,1
[L89b] 16.936+00.758,16.9,0.8,2
BBW 34400,17.0,0.8,0
[L89b] 16.995+00.868,17.0,0.9,2
GRS 017.02 +00.93,17.0,0.9,1
LBN 017.00+00.53,17.0,0.5,0
SH 2-49,17.1,0.7,20
[L89b] 17.144+00.765,17.1,0.8,2
[LPH96] 017.226+0.390,17.2,0.4,1
[LPH96] 017.250-0.195,17.2,-0.2,1
LBN 017.81+00.97,17.8,0.9,0
[L89b] 18.143-00.289,18.1,-0.3,3
[WHR97] 18222-1317,18.1,-0.3,1
[KWE89] B,18.2,-0.4,1
GRS 018.20 -00.40,18.2,-0.4,3
[L89b] 18.197-00.181,18.2,-0.2,2
SH 2-53,18.2,-0.3,10
GRS 018.20 -00.30,18.2,-0.3,2
[KWE89] E,18.2,-0.2,1
[L89b] 18.258-00.297,18.3,-0.3,2
[DWB80] 018.258-0.297,18.3,-0.3,1
[L89b] 18.305-00.391,18.3,-0.4,2
[WHR97] 18228-1312,18.3,-0.4,1
F3R 614,18.3,-0.4,2
RCW 166,18.3,-0.3,3
[L89b] 18.456-00.007,18.5,0.0,2
[WAM82] 018.455-0.007,18.5,0.0,0
[WBH98] 18217-1252,18.5,0.0,3
[L89b] 18.643-00.288,18.6,-0.3,1
[LPH96] 018.794+0.140,18.8,0.1,1
[L89b] 18.881-00.493,18.9,-0.5,2
[L89b] 18.954-00.019,19.0,0.0,2
[L89b] 19.044-00.431,19.0,-0.4,2
[L89b] 19.050-00.593,19.0,-0.6,2
[WBH98] 18239-1228,19.1,-0.3,2
[L89b] 19.066-00.281,19.1,-0.3,2
[WC89] 019.07-0.27,19.1,-0.3,2
IRAS 18257-1226,19.3,-0.6,1
[WBH98] 18236-1205,19.4,0.0,2
GRS 019.50 +00.10,19.5,0.1,3
[WBH98] 18232-1154,19.5,0.2,2
GRS 019.60 -00.10,19.6,-0.1,3
[ABG85] 36,19.6,-0.2,23
[HH81] G19.6-0.2 B,19.6,-0.2,0
[FC2000] G019.61-0.23 B,19.6,-0.2,1
[GMR98] HII B,19.6,-0.2,1
[GMR98] HII F,19.6,-0.2,1
[GMR98] HII CD,19.6,-0.2,1
[HH81] G19.6-0.2 C,19.6,-0.2,0
[FC2000] G019.61-0.24 C,19.6,-0.2,2
[HH81] G19.6-0.2 D,19.6,-0.2,0
[GMR98] HII E,19.6,-0.2,1
GAL 019.60-00.23,19.6,-0.2,8
[WBH98] 18244-1155,19.6,-0.1,2
[WC89] 019.61-0.23C,19.6,-0.2,1
[FC2000] G019.61-0.24 A,19.6,-0.2,1
[HH81] G19.6-0.2 E,19.6,-0.2,0
[HH81] G19.6-0.2 A,19.6,-0.2,1
[WC89] 019.61-0.23B,19.6,-0.2,1
[WBH98] 18248-1158,19.6,-0.2,2
[L89b] 19.671-00.137,19.7,-0.1,2
[HH81] G20.1-0.1 C,20.1,-0.1,0
[L89b] 20.074-00.141,20.1,-0.1,2
[HH81] G20.1-0.1 B,20.1,-0.1,0
[WBH98] 18253-1130,20.1,-0.1,2
GAL 020.08-00.14,20.1,-0.1,8
[HH81] G20.1-0.1 A,20.1,-0.1,1
[WC89] 020.08-0.14A,20.1,-0.1,1
[LPH96] 020.209-0.273,20.2,-0.3,1
[L89b] 20.264-00.894,20.3,-0.9,2
[L89b] 20.479+00.165,20.5,0.2,2
[L89b] 20.681-00.136,20.7,-0.1,2
EQ 1826-1054,20.7,-0.1,3
